,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
1,19340.0,12131.0,8777.0,7873.0,270.0,375.0,215.0,299.0,24.0,17.0
2,18664.0,11780.0,8650.0,7576.0,256.0,233.0,134.0,140.0,36.0,20.0
3,18782.0,11947.0,8787.0,7862.0,56.0,684.0,405.0,428.0,112.0,38.0
4,18625.0,11696.0,8620.0,7546.0,269.0,107.0,56.0,65.0,16.0,9.0
5,19208.0,11998.0,8765.0,7895.0,209.0,525.0,304.0,339.0,72.0,26.0
6,18665.0,11950.0,8651.0,7726.0,111.0,321.0,172.0,219.0,36.0,19.0
7,19355.0,12157.0,8791.0,7882.0,264.0,777.0,448.0,492.0,112.0,39.0
8,19058.0,11965.0,8539.0,7808.0,248.0,42.0,25.0,16.0,8.0,6.0
9,19189.0,12000.0,8770.0,7893.0,200.0,473.0,289.0,317.0,76.0,28.0
10,18708.0,11840.0,8633.0,7623.0,270.0,239.0,136.0,184.0,22.0,17.0
11,19336.0,12135.0,8778.0,7884.0,278.0,734.0,425.0,470.0,116.0,38.0
12,18816.0,11950.0,8624.0,7863.0,47.0,142.0,74.0,83.0,20.0,9.0
13,19124.0,12079.0,8793.0,7967.0,49.0,534.0,300.0,425.0,48.0,19.0
14,18849.0,11842.0,8666.0,7701.0,200.0,377.0,197.0,259.0,44.0,18.0
15,19341.0,12133.0,8826.0,7887.0,268.0,730.0,383.0,635.0,40.0,17.0
16,11106.0,6763.0,5398.0,4375.0,157.0,18.0,12.0,7.0,4.0,6.0
17,19020.0,12119.0,8798.0,7907.0,115.0,401.0,213.0,372.0,16.0,17.0
18,18139.0,11493.0,8589.0,7323.0,157.0,202.0,114.0,194.0,11.0,13.0
19,18987.0,12113.0,8798.0,7879.0,106.0,638.0,357.0,470.0,64.0,27.0
20,18295.0,11490.0,8557.0,7440.0,110.0,102.0,61.0,74.0,12.0,11.0
21,19082.0,12055.0,8763.0,7951.0,48.0,692.0,412.0,420.0,156.0,44.0
22,18022.0,11399.0,8575.0,7315.0,116.0,328.0,168.0,250.0,28.0,16.0
23,19293.0,12083.0,8813.0,7863.0,256.0,817.0,471.0,510.0,124.0,41.0
24,13726.0,8298.0,6806.0,5321.0,147.0,53.0,31.0,23.0,8.0,10.0
25,18784.0,11975.0,8810.0,7878.0,46.0,485.0,290.0,332.0,72.0,32.0
26,17906.0,11258.0,8544.0,7196.0,134.0,257.0,148.0,189.0,26.0,21.0
27,18944.0,12063.0,8741.0,7827.0,121.0,722.0,425.0,455.0,111.0,38.0
28,14385.0,8817.0,6661.0,5765.0,178.0,151.0,78.0,90.0,20.0,12.0
29,18764.0,11944.0,8757.0,7851.0,48.0,589.0,324.0,455.0,68.0,28.0
30,14477.0,9029.0,6645.0,5818.0,201.0,384.0,194.0,270.0,36.0,19.0
31,14617.0,9153.0,7005.0,5933.0,82.0,800.0,448.0,626.0,96.0,28.0
32,1161.0,597.0,654.0,344.0,65.0,7.0,4.0,1.0,2.0,2.0
33,11009.0,6737.0,5514.0,4314.0,111.0,373.0,214.0,302.0,22.0,16.0
34,11121.0,6738.0,5291.0,4323.0,216.0,224.0,114.0,167.0,18.0,14.0
35,11396.0,6983.0,5503.0,4480.0,188.0,633.0,358.0,460.0,70.0,26.0
36,10593.0,6389.0,5396.0,4096.0,102.0,107.0,60.0,66.0,18.0,7.0
37,11684.0,7175.0,5442.0,4623.0,233.0,487.0,285.0,379.0,50.0,20.0
38,11009.0,6763.0,5466.0,4420.0,113.0,334.0,190.0,221.0,54.0,18.0
39,11484.0,7042.0,5469.0,4535.0,189.0,742.0,421.0,589.0,89.0,25.0
40,10606.0,6286.0,5464.0,4081.0,102.0,41.0,25.0,16.0,8.0,6.0
41,11115.0,6839.0,5492.0,4450.0,118.0,473.0,286.0,325.0,72.0,30.0
42,11111.0,6829.0,5476.0,4456.0,115.0,240.0,138.0,184.0,22.0,16.0
43,11152.0,6860.0,5520.0,4456.0,117.0,708.0,416.0,450.0,107.0,36.0
44,11063.0,6770.0,5496.0,4426.0,113.0,142.0,75.0,83.0,20.0,8.0
45,11113.0,6843.0,5485.0,4451.0,109.0,527.0,297.0,412.0,44.0,21.0
46,11329.0,6944.0,5445.0,4488.0,176.0,363.0,188.0,263.0,36.0,16.0
47,11054.0,6718.0,5581.0,4333.0,141.0,858.0,466.0,602.0,112.0,34.0
48,9348.0,5401.0,4607.0,3381.0,305.0,24.0,15.0,11.0,6.0,4.0
49,11082.0,6727.0,5435.0,4229.0,207.0,413.0,218.0,422.0,18.0,18.0
50,10745.0,6455.0,5525.0,4149.0,115.0,202.0,112.0,194.0,9.0,9.0
51,10900.0,6589.0,5551.0,4216.0,109.0,574.0,317.0,520.0,22.0,15.0
52,10971.0,6633.0,5389.0,4254.0,176.0,119.0,63.0,76.0,17.0,6.0
53,10931.0,6635.0,5556.0,4238.0,113.0,498.0,278.0,398.0,38.0,16.0
54,11076.0,6713.0,5462.0,4297.0,180.0,359.0,192.0,238.0,46.0,17.0
55,10959.0,6598.0,5587.0,4238.0,122.0,817.0,469.0,524.0,129.0,37.0
56,10625.0,6251.0,5435.0,4015.0,129.0,66.0,40.0,25.0,14.0,8.0
57,11251.0,6811.0,5539.0,4319.0,179.0,491.0,293.0,336.0,74.0,30.0
58,11052.0,6756.0,5389.0,4339.0,176.0,275.0,156.0,188.0,31.0,16.0
59,11251.0,6845.0,5523.0,4386.0,176.0,728.0,428.0,459.0,113.0,36.0
60,10307.0,6068.0,5120.0,3911.0,178.0,162.0,85.0,92.0,26.0,9.0
61,11267.0,6901.0,5469.0,4433.0,170.0,553.0,303.0,439.0,50.0,19.0
62,10880.0,6459.0,5414.0,4070.0,208.0,390.0,197.0,274.0,38.0,17.0
63,11046.0,6732.0,5530.0,4333.0,112.0,836.0,453.0,586.0,102.0,33.0
64,1153.0,528.0,705.0,289.0,67.0,1.0,1.0,0.0,0.0,0.0
65,1494.0,648.0,1190.0,332.0,44.0,421.0,258.0,261.0,64.0,22.0
66,1555.0,648.0,1166.0,369.0,61.0,233.0,135.0,140.0,36.0,18.0
67,1983.0,1021.0,1197.0,533.0,93.0,657.0,391.0,416.0,100.0,31.0
68,1408.0,554.0,1108.0,319.0,51.0,107.0,57.0,65.0,16.0,7.0
69,1546.0,664.0,1220.0,323.0,58.0,542.0,326.0,370.0,88.0,29.0
70,1564.0,648.0,1202.0,374.0,42.0,321.0,173.0,219.0,36.0,17.0
71,2005.0,1004.0,1211.0,520.0,97.0,777.0,449.0,492.0,112.0,37.0
72,1413.0,535.0,1115.0,325.0,46.0,38.0,20.0,18.0,4.0,5.0
73,1515.0,641.0,1219.0,312.0,51.0,493.0,298.0,323.0,84.0,25.0
74,1634.0,667.0,1195.0,368.0,63.0,243.0,141.0,182.0,26.0,15.0
75,1506.0,662.0,1187.0,329.0,51.0,613.0,327.0,546.0,24.0,13.0
76,1497.0,574.0,1159.0,341.0,41.0,138.0,70.0,85.0,16.0,8.0
77,1539.0,671.0,1204.0,339.0,47.0,540.0,308.0,421.0,56.0,18.0
78,1408.0,582.0,1143.0,316.0,47.0,379.0,202.0,258.0,52.0,15.0
79,1529.0,664.0,1200.0,329.0,55.0,842.0,467.0,579.0,116.0,33.0
80,1573.0,747.0,990.0,437.0,82.0,18.0,12.0,7.0,4.0,4.0
81,1537.0,667.0,1208.0,331.0,48.0,416.0,232.0,403.0,32.0,17.0
82,1592.0,657.0,1196.0,377.0,59.0,196.0,109.0,196.0,7.0,12.0
83,1506.0,671.0,1194.0,338.0,41.0,607.0,335.0,533.0,40.0,18.0
84,1434.0,583.0,1107.0,343.0,42.0,102.0,61.0,74.0,12.0,9.0
85,1482.0,633.0,1195.0,312.0,45.0,579.0,356.0,364.0,112.0,29.0
86,1436.0,614.0,1122.0,344.0,41.0,328.0,168.0,250.0,28.0,14.0
87,1545.0,676.0,1215.0,327.0,61.0,817.0,471.0,510.0,124.0,39.0
88,1442.0,567.0,1098.0,335.0,54.0,54.0,33.0,23.0,8.0,7.0
89,1486.0,645.0,1191.0,323.0,46.0,485.0,291.0,332.0,72.0,30.0
90,1381.0,561.0,1138.0,304.0,42.0,257.0,148.0,189.0,26.0,19.0
91,1565.0,694.0,1196.0,362.0,49.0,722.0,425.0,455.0,111.0,36.0
92,1444.0,583.0,1118.0,340.0,46.0,166.0,96.0,101.0,28.0,11.0
93,1494.0,658.0,1191.0,326.0,50.0,589.0,324.0,455.0,68.0,26.0
94,1500.0,578.0,1205.0,320.0,49.0,376.0,190.0,272.0,32.0,17.0
95,1486.0,638.0,1196.0,318.0,46.0,750.0,390.0,642.0,40.0,18.0
96,1408.0,539.0,1115.0,339.0,42.0,7.0,5.0,1.0,2.0,0.0
97,1981.0,1022.0,1236.0,542.0,92.0,373.0,215.0,302.0,22.0,14.0
98,1654.0,692.0,1334.0,392.0,54.0,220.0,106.0,173.0,10.0,11.0
99,1734.0,767.0,1363.0,415.0,56.0,633.0,359.0,460.0,70.0,24.0
100,1581.0,618.0,1269.0,365.0,51.0,107.0,61.0,66.0,18.0,5.0
101,1656.0,688.0,1371.0,342.0,52.0,481.0,278.0,383.0,42.0,16.0
102,2278.0,1191.0,1301.0,652.0,109.0,334.0,191.0,221.0,54.0,16.0
103,1768.0,775.0,1372.0,418.0,56.0,792.0,462.0,518.0,130.0,35.0
104,1567.0,602.0,1289.0,355.0,51.0,42.0,26.0,16.0,8.0,5.0
105,1735.0,738.0,1388.0,386.0,58.0,474.0,290.0,321.0,76.0,30.0
106,2424.0,1237.0,1370.0,680.0,134.0,243.0,142.0,182.0,26.0,16.0
