,D_mean,LT_mean,D_min,LT_min,D_max,LT_max,D_std,LT_std
4,17.4,19.8,1,1,26,36,10.18261824314917,14.102684648169449
5,37.516129032258064,56.354838709677416,1,1,56,109,20.477420032386785,34.73283594054937
6,78.39682539682539,99.66666666666667,1,1,118,198,42.988573006255784,55.872550823135605
7,161.8503937007874,156.48031496062993,1,1,244,315,88.4275399480973,80.56190071937888
8,330.5843137254902,227.08627450980393,1,1,498,460,179.5518035182964,108.31294158504896
9,669.9549902152642,301.5166340508806,1,1,1008,633,361.9443624364937,135.86555933334208
10,1350.642228739003,403.7409579667644,1,1,2030,832,726.8124366426558,170.0472892494247
11,2713.986809965804,520.8241328773815,1,1,4076,1063,1456.5956350037566,206.4087289482667
12,5442.658852258853,643.1606837606838,1,1,8170,1320,2916.189719450326,242.93719008591603
13,10901.99621535832,783.286656085948,1,1,16360,1605,5835.38834302471,281.6792742548708
14,21822.66465238357,937.9959103949216,1,1,32742,1918,11673.796295404713,323.31946514695375
15,43660.52519302957,1104.778984954375,0,0,65508,2259,23354.367927793577,365.29189251910526
