,0
101101,8
110011,18
000100,1512
110111,15
000000,1443
001000,1560
111111,11
100001,10
001010,1499
001001,1497
101010,7
110110,12
000001,1503
110101,18
101011,19
000010,1452
111110,8
100010,11
001011,1464
110010,11
101110,10
000101,1510
101111,13
110001,8
000110,1454
111101,8
100011,8
001100,1548
110000,13
000111,1526
101100,12
110100,8
000011,1474
010101,9
001110,10
100101,13
111011,7
011110,15
100100,9
001101,19
111100,9
011011,14
001111,16
111010,13
100110,11
011001,10
010010,5
010110,12
010011,10
100000,10
011111,7
011101,14
011100,11
010001,11
010111,11
010100,9
011000,12
111000,7
100111,6
011010,12
101001,9
101000,9
111001,10
010000,10
