,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
1,77652,48653,35594,32029,761,747,439,586,56,28
2,76198,48244,35276,31746,155,375,215,299,24,17
3,76534,48836,35564,31798,441,1116,647,1014,68,26
4,76469,47900,35294,31426,754,202,116,154,20,15
5,77296,48863,35492,32315,161,1077,629,796,132,42
6,75054,47834,35250,31434,164,700,405,430,120,35
7,78104,49072,35516,31890,1033,1561,922,1035,240,71
8,76244,47682,35221,31295,754,107,56,65,16,9
9,75926,48337,35471,31881,161,915,527,807,96,33
10,75739,48411,35333,31400,407,481,267,384,36,19
11,76647,48917,35514,31890,398,1431,850,1005,208,63
12,76156,48176,35321,31193,1065,314,163,223,28,17
13,77483,48446,35544,31927,763,1195,714,794,192,53
14,76344,48327,35244,31818,169,769,448,492,112,39
15,77190,48741,35581,32280,163,1576,932,1168,204,61
16,77370,48600,35210,31605,1055,38,20,18,4,7
17,76459,48792,35567,31800,435,726,433,708,32,17
18,76589,47995,35263,31479,777,473,288,321,76,31
19,76471,48809,35610,31783,468,1393,837,948,228,61
20,76181,48178,35296,31247,1060,239,136,184,22,17
21,78213,49137,35512,31923,1067,1126,636,854,128,45
22,76027,48104,35203,31103,1053,706,414,450,107,35
23,77510,48483,35505,31939,784,1696,992,1111,296,72
24,77305,48606,35202,31566,1023,137,71,85,16,10
25,76928,48606,35485,31559,1025,1005,610,693,164,49
26,76030,48088,35254,31048,1082,534,300,425,48,19
27,77454,48428,35478,31932,779,1496,893,1049,232,64
28,75644,48326,35320,31391,450,381,207,256,56,18
29,77292,48891,35525,32346,147,1256,704,930,152,49
30,76243,48262,35415,31756,166,820,448,573,104,33
31,78341,49253,35521,31968,1067,1510,860,1181,128,34
32,43277,26503,21218,17480,302,17,7,9,0,6
33,76102,48449,35556,31979,151,735,430,603,40,24
34,73692,46573,35048,30170,374,501,289,320,84,34
35,78098,49054,35558,31882,1069,1300,761,997,180,44
36,74287,47013,35104,30135,630,196,109,196,7,14
37,77158,48791,35534,32261,170,1079,634,805,132,49
38,74563,46643,35031,29742,1223,635,351,472,60,27
39,75808,48190,35542,31820,160,1375,789,1194,108,39
40,74765,46885,35004,30518,379,102,61,74,12,11
41,76515,48853,35522,31793,425,913,534,703,88,30
42,75207,46772,35011,30248,987,479,275,388,36,18
43,77503,48454,35578,31965,770,1354,806,1036,164,50
44,73675,46572,34949,30280,354,328,168,250,28,16
45,75785,48267,35424,31836,158,1238,734,812,204,54
46,75026,46655,34971,30143,976,817,471,510,124,41
47,76826,48562,35496,31509,1056,1743,1030,1177,284,80
48,58268,36048,26743,23381,1045,54,32,23,8,9
49,76876,48594,35640,31535,1034,913,551,652,128,49
50,73943,45984,35019,29138,1288,485,290,332,72,32
51,76418,48765,35584,31723,425,1478,889,950,263,78
52,73068,45902,34913,29588,504,257,148,189,26,21
53,77490,48515,35452,31928,800,1153,670,825,151,54
54,74166,46331,34932,29809,506,748,431,477,116,41
55,75894,48259,35516,31876,147,1626,957,1074,251,75
56,57037,35465,27214,23212,483,151,78,90,20,12
57,77440,48464,35448,31866,790,977,562,736,100,37
58,73736,45933,34862,29465,558,601,335,386,80,29
59,78101,49098,35441,31901,1060,1265,723,1105,80,24
60,58401,36382,27692,23821,412,390,194,270,36,19
61,75811,48204,35500,31854,148,1280,759,829,212,57
62,59864,37442,27325,24374,967,872,507,535,140,47
63,59676,36991,27928,24223,597,1720,982,1226,244,62
64,2590,1043,1896,601,103,7,4,1,2,2
65,42253,26043,21009,16974,280,886,548,569,142,48
66,41781,25699,20714,16488,406,379,222,298,30,18
67,43647,26499,21207,17066,750,1255,753,923,158,48
68,42095,25663,20751,16681,295,222,110,171,14,12
69,43468,26387,21080,17211,588,1083,631,794,134,45
70,42458,26016,21126,16843,489,639,366,456,78,27
71,43016,26324,21025,16913,742,1362,769,1194,94,33
72,42289,25269,20952,16411,563,107,60,66,18,7
73,43472,26419,21244,17340,462,920,546,689,102,32
74,42996,26377,20828,17280,286,481,277,383,42,18
75,43329,26252,21158,17029,660,1447,856,1042,210,59
76,42718,26153,20798,17120,293,339,190,221,54,18
77,43362,26285,21189,17127,610,1054,608,932,82,27
78,42919,26269,20967,16955,737,777,452,493,114,37
79,42899,26558,20985,17137,434,1666,977,1112,254,71
80,41738,25377,20645,16295,719,41,25,16,8,6
81,44636,27298,21203,17624,841,739,436,762,32,27
82,43132,26199,21329,17048,642,473,286,325,72,30
83,43341,26389,20930,17011,729,1350,803,960,188,61
84,43271,26287,20935,17028,732,240,138,184,22,16
85,43337,26294,20972,17156,614,1127,644,828,132,47
86,44260,26950,21127,17588,802,708,416,450,107,36
87,42917,26236,20890,16855,751,1638,955,1089,256,74
88,42680,26295,20881,17058,470,140,71,85,16,11
89,43234,26300,21153,17230,445,957,549,733,92,31
90,42796,26155,20884,16912,734,528,300,410,48,19
91,43655,26428,21280,17153,639,1243,707,1104,68,23
92,42853,26444,20937,17167,445,372,190,263,36,17
93,44731,27323,21297,17841,774,1067,576,968,40,17
94,43451,26395,21223,17380,451,759,418,566,76,25
95,44459,27444,21134,17900,621,1668,988,1243,232,62
96,35220,20688,17949,13228,483,24,15,11,6,4
97,42573,25634,21113,16475,695,748,454,597,62,25
98,41556,25652,20741,16697,278,407,227,372,26,17
99,42996,26180,20928,16817,713,1171,679,1048,94,28
100,41912,25485,20671,16369,700,215,123,196,17,11
101,42294,26049,20963,16770,421,1074,631,811,130,44
102,42503,25909,20666,16891,561,643,360,474,65,26
103,43118,26124,21236,17075,443,1481,863,1129,170,51
104,42078,25733,20596,16853,255,121,63,77,14,7
105,42889,26126,21295,16871,650,854,487,815,49,22
106,42648,25938,20827,16944,571,566,326,358,82,25
107,42231,26143,20836,16848,413,1457,868,1009,218,60
108,41936,25862,20743,16969,271,338,178,244,34,15
109,42983,26370,20949,17195,289,1246,738,816,206,52
110,42456,26040,20794,16742,756,811,445,561,109,33
111,43251,26453,21157,17003,541,1726,1006,1137,270,74
112,42252,25750,20757,16872,275,65,39,25,14,6
113,42743,26111,21018,16760,721,925,557,660,134,43
114,42923,25974,21109,16874,635,498,298,340,78,29
115,43054,26114,20888,17080,587,1484,895,948,264,77
116,43901,26919,21081,17550,609,282,165,184,39,18
117,42581,26278,20987,16973,402,1136,635,853,118,45
118,42594,25971,21065,16848,649,756,434,481,118,39
119,42759,26192,20890,16831,756,1684,993,1123,288,70
120,41333,25292,20116,16354,585,157,81,94,22,10
121,43164,26349,21088,17282,422,1020,615,716,162,48
122,42649,26059,20620,16812,746,552,311,434,54,20
123,42490,26349,20814,16989,431,1276,729,1113,86,21
124,42223,25833,20705,16878,306,390,197,274,38,17
125,43262,26163,21087,16986,639,1303,780,834,230,54
126,42531,25908,20656,16634,741,877,506,539,142,40
127,42525,26008,20928,16715,700,1792,1045,1224,282,80
128,2864,1363,1873,743,160,1,1,0,0,0
129,3757,1673,2766,889,139,741,437,588,52,23
130,3468,1456,2595,820,133,375,216,299,24,15
131,3475,1593,2559,854,121,1325,783,920,184,58
132,3765,1612,2721,894,204,207,125,132,28,12
133,3082,1176,2658,574,80,1090,641,787,144,47
134,3429,1466,2556,849,121,694,398,434,112,32
135,3724,1614,2926,840,118,1561,923,1035,240,69
136,3302,1386,2467,817,144,107,57,65,16,7
137,3386,1509,2668,797,104,780,482,792,48,20
138,3510,1488,2684,809,126,517,281,437,44,19
139,3850,1631,2870,876,137,1427,851,1005,208,61
140,3344,1385,2601,814,118,321,173,219,36,17
141,4211,1866,3091,942,212,1032,596,918,64,25
142,3352,1407,2572,800,122,769,449,492,112,37
143,3561,1488,2826,776,116,1663,974,1111,252,71
144,3328,1421,2438,826,147,38,20,18,4,5
145,3602,1625,2653,865,120,895,539,647,124,43
146,3447,1488,2576,838,137,475,293,313,80,28
147,3745,1573,2888,869,117,1378,837,938,232,67
148,3647,1388,2874,807,132,239,136,184,22,15
149,3610,1636,2666,872,131,1119,642,828,132,44
150,3558,1341,2898,756,122,710,419,448,111,32
151,3485,1524,2729,774,116,1610,945,1069,247,71
152,3280,1380,2443,814,141,138,70,85,16,8
153,3268,1295,2727,656,85,1020,626,650,164,51
154,3388,1429,2583,814,124,537,303,423,52,18
155,3690,1561,2865,812,131,1247,720,1100,76,21
156,3483,1434,2695,831,130,356,183,265,32,14
157,3658,1432,3003,711,113,1257,717,918,164,51
158,3372,1388,2653,774,101,747,412,562,72,19
159,3607,1520,2867,790,114,1773,1029,1215,276,77
160,3372,1363,2558,811,134,18,12,7,4,4
161,3529,1569,2727,805,113,729,422,607,32,20
162,3143,1101,2759,602,89,393,213,432,16,14
163,3659,1662,2715,864,139,1294,745,1005,164,38
164,3356,1369,2692,803,111,202,114,194,11,11
165,3724,1554,2865,822,126,1073,615,813,116,43
166,3569,1477,2690,844,134,638,357,470,64,25
167,3661,1676,2693,889,132,1362,777,1197,96,34
168,3128,1239,2441,723,130,104,61,76,12,9
169,3465,1511,2704,766,127,877,526,777,84,26
170,3457,1450,2654,789,119,514,301,389,56,20
171,3377,1316,2875,649,89,1354,814,1032,172,50
172,3362,1441,2489,840,136,328,168,250,28,14
173,3579,1578,2757,804,119,1240,738,804,208,53
174,3455,1470,2624,834,134,715,397,552,64,21
175,3589,1582,2792,777,134,1748,1038,1173,292,78
176,3370,1254,2721,735,116,54,33,23,8,7
177,3649,1640,2812,831,145,906,542,656,120,45
178,3276,1285,2726,692,108,487,295,328,76,32
179,3534,1587,2728,834,115,1478,889,950,263,76
180,3547,1462,2658,815,169,257,148,189,26,19
181,3875,1658,2961,836,148,1158,658,855,140,47
182,3646,1535,2725,865,133,748,431,477,116,39
183,3360,1439,2751,731,100,1501,840,1134,144,39
184,3271,1369,2461,793,138,151,78,90,20,10
185,3490,1527,2669,816,113,1023,617,702,164,49
186,3589,1498,2684,844,137,544,316,483,58,16
187,3706,1442,3039,714,118,1510,889,1042,224,64
188,3363,1364,2652,807,116,384,195,270,36,17
189,3706,1610,2762,867,125,1286,768,825,220,56
190,3447,1365,2715,774,117,813,448,632,96,29
191,3632,1558,2847,829,104,1592,884,1314,152,37
192,3323,1393,2463,856,131,7,5,1,2,0
193,3718,1318,3254,659,95,838,518,533,130,39
194,3631,1325,3097,728,119,373,215,302,22,14
195,3688,1330,3231,681,90,1329,793,926,194,57
196,3701,1270,3106,748,93,200,116,178,18,10
197,3731,1597,2916,819,132,1078,628,796,130,40
198,3692,1304,3175,746,86,639,367,456,78,25
199,3806,1386,3257,714,92,1487,851,1131,178,49
200,3507,1139,3040,687,92,107,61,66,18,5
201,3763,1440,3174,752,86,913,538,693,94,28
202,3611,1251,3135,711,91,487,286,379,50,18
203,3523,1364,2971,712,77,1456,869,1009,221,63
204,4258,1882,3066,1106,180,339,191,221,54,16
205,3738,1476,3050,761,94,1016,593,918,62,26
206,3546,1254,3030,701,95,772,453,493,114,35
207,3972,1544,3279,808,93,1704,997,1136,278,69
208,3708,1241,3093,768,81,42,26,16,8,5
209,4370,1974,3299,1045,154,895,540,647,124,45
210,3590,1241,3162,697,96,474,290,321,76,30
211,4463,2062,3135,1123,175,1342,794,964,180,57
212,3546,1203,3035,729,80,243,142,182,26,16
213,3750,1366,3254,688,91,1112,626,836,116,41
214,3660,1303,3127,735,91,707,416,450,107,34
215,3668,1409,3153,733,76,1641,962,1087,259,75
216,3564,1167,3028,730,79,139,71,85,16,9
217,3755,1382,3250,721,80,926,549,715,92,29
218,3603,1257,3125,708,95,537,304,423,52,19
219,3859,1453,3229,754,94,1248,716,1100,76,21
220,3691,1554,2827,917,126,364,194,261,40,17
221,3819,1419,3240,737,96,1091,609,952,72,25
222,3627,1305,3128,743,93,851,494,524,136,41
223,3880,1521,3175,793,102,1773,1044,1203,288,76
224,4084,1780,2994,1016,174,23,16,11,6,2
225,4075,1640,3292,864,114,747,450,599,58,24
226,4574,2156,3154,1206,203,401,217,376,18,13
227,4031,1529,3400,805,100,1107,627,1074,42,21
228,4686,2188,3215,1231,238,202,112,194,9,7
229,3979,1516,3369,812,92,1076,623,815,122,40
230,3799,1453,3143,852,109,573,321,518,26,12
231,4199,1716,3329,914,134,1381,798,1193,114,36
232,3831,1356,3179,843,99,122,66,78,17,5
233,3942,1501,3382,789,86,921,564,693,114,31
234,3593,1363,3055,784,86,500,279,400,38,14
235,4245,1820,3244,961,154,1470,875,1053,218,59
236,3756,1277,3204,776,79,359,193,238,46,15
237,4051,1560,3376,819,99,1208,694,905,150,41
238,4085,1621,3260,922,132,818,471,524,129,36
239,4001,1531,3380,817,99,1740,1021,1192,273,75
240,4319,1901,3081,1107,179,59,35,27,10,6
241,4436,2018,3304,1055,182,763,444,782,34,23
242,4418,1847,3295,1091,156,499,307,334,86,28
243,3756,1458,3236,762,88,1484,896,948,264,75
244,4442,1971,3162,1138,193,284,172,177,47,13
245,4281,1812,3341,947,150,1166,683,825,161,52
246,3817,1316,3363,737,98,761,439,485,122,36
247,4969,2395,3483,1257,229,1760,1034,1106,330,75
248,3903,1391,3269,852,94,162,85,92,26,7
249,3851,1576,3246,837,95,853,504,781,50,21
250,4817,2208,3337,1251,201,561,322,446,62,16
251,4825,2366,3322,1277,197,1272,727,1109,82,22
252,4681,2068,3297,1166,221,397,207,270,46,17
253,3905,1468,3422,764,91,1292,771,829,222,54
254,4225,1661,3461,956,119,793,418,658,66,20
255,4085,1619,3451,866,96,1763,1035,1213,274,71
