,unitary,DJ
1,30470,435
2,29780,226
3,30267,713
4,29478,169
5,30472,533
6,29749,365
7,30486,823
8,29499,48
9,30552,458
10,29534,255
11,30524,741
12,29910,283
13,30525,915
14,29955,495
15,30515,874
16,18189,26
17,30394,443
18,28617,190
19,30458,685
20,28765,197
21,30572,594
22,28549,432
23,30521,869
24,21530,70
25,30205,492
26,28213,267
27,30109,749
28,22491,237
29,30058,946
30,22421,596
31,23574,1332
32,1625,11
33,17379,451
34,17294,208
35,17786,775
36,17161,142
37,17676,593
38,17914,368
39,17452,983
40,17205,58
41,17459,463
42,17697,268
43,17584,743
44,17867,211
45,17783,926
46,17549,461
47,17353,1297
48,13657,27
49,17189,529
50,17141,222
51,17498,694
52,17179,157
53,17270,924
54,17361,397
55,17164,1270
56,16671,111
57,17492,568
58,17455,370
59,17731,737
60,15876,218
61,17594,962
62,16778,531
63,17480,1281
64,1742,1
65,2196,484
66,2528,236
67,2113,700
68,2097,142
69,2052,829
70,2505,355
71,2291,850
72,2145,48
73,2110,458
74,2293,254
75,2244,735
76,2273,189
77,2214,917
78,2587,482
79,2136,1328
80,2527,26
81,2248,425
82,2101,254
83,2152,684
84,1973,123
85,2694,891
86,2125,379
87,2186,1013
88,2130,70
89,2192,483
90,2432,274
91,2096,761
92,2041,214
93,2350,641
94,2113,480
95,2068,1271
96,2096,11
97,2953,492
98,2274,214
99,3116,706
100,2780,160
101,2556,530
102,3073,372
103,2299,1008
104,2191,58
105,2887,458
106,2350,261
107,2851,748
108,2195,170
109,2348,925
110,2819,460
111,2256,933
112,2251,34
113,2388,432
114,2557,204
115,2345,648
116,2434,207
117,3078,588
118,2655,409
119,2956,1040
120,3323,74
121,3066,494
122,2423,350
123,2782,760
124,3105,259
125,3366,965
126,3107,491
127,2924,1057
