,0
111101,496
100011,516
011011,500
001101,3
100100,490
111100,493
011110,534
011001,474
001111,3
111010,491
100110,494
101001,480
100010,508
111110,459
000001,2
101010,490
110110,465
000110,1
101111,488
110001,499
100111,442
000100,1
101101,543
110011,530
001010,2
100001,507
111111,494
011100,480
000101,3
101110,489
110010,518
001110,2
100101,533
111011,483
111000,472
111001,510
011000,506
000011,3
101100,538
110100,526
000111,2
110000,511
110111,483
011111,551
100000,543
000010,1
110101,473
101011,502
101000,507
011010,482
011101,465
010011,2
001000,2
010110,2
010010,1
010000,3
010100,1
010111,1
